INSTCODE	ACCENUMB	COLLNUMB	COLLCODE	COLLNAME	COLLINSTADDRESS	COLLMISSID	GENUS	SPECIES	SPAUTHOR	SUBTAXA	SUBTAUTHOR	CROPNAME	ACCENAME	ACQDATE	ORIGCTY	NAMECTY	ADM1	ADM2	ADM3	ADM4	COLLSITE	DECLATITUDE	LATITUDE	DECLONGITUDE	LONGITUDE	COORDUNCERT	COORDDATUM	GEOREFMETH	ELEVATION	COLLDATE	BREDCODE	BREDNAME	SAMPSTAT	ANCEST	COLLSRC	DONORCODE	DONORNAME	DONORNUMB	OTHERNUMB	DUPLSITE	DUPLINSTNAME	STORAGE	MLSSTAT	REMARKS
BM	AMZ222	JM6317	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Vicinity of An Nid, Al Batinah South"	23.224417	NA	57.334868	NA	NA	NA	100	820	19750408	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
BM	AMZ223	JM6403	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Vicinity of An Nid, Al Batinah South"	23.216667	NA	57.316667	NA	NA	NA	100	820	19750409	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
BM	AMZ224	JM6248	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Wadi Sahtan, Al Batinah South"	23.383333	NA	57.316667	NA	NA	NA	100	425	19750405	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
OBG	AMZ225	AHIN73	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Wadi Bani Awf, Balad Seet village, Al Batinah South"	23.1923	NA	57.388978	NA	NA	NA	100	960	NA	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
K	AMZ226	AP907	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Wadi between Nakhl and Rustaq, Al Batinah South"	23.416644	NA	57.483349	NA	NA	NA	100	373	20010417	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
OBG	AMZ227	AP2441	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Wakan village, Ad Dakhiliyah"	23.136879	NA	57.733581	NA	NA	NA	100	1499	20070418	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
BM	AMZ228	JM3663	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Wadi Kamah trail, Ad Dakhiliyah"	23.033333	NA	57.55	NA	NA	NA	100	609	19720320	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ229	AA189	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Near Ar Ruhbah, western Hajar mountains, Ad Dakhiliyah"	23.168386	NA	57.105048	NA	NA	NA	100	973	20210628	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	50	0	NA
OBG	AMZ230	ISRA1368	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Jabal Al Akhdar, village of Shurayjah, Ad Dakhiliyah"	23.071717	NA	57.66185	NA	NA	NA	100	1834	NA	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ231	AA195	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Wakan village, Ad Dakhiliyah"	23.13985	NA	57.730019	NA	NA	NA	100	1400	20210812	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
OBG	AMZ232	AP3771	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Jabal Bani Jabir, Eastern Hajar mountains, Ash Sharqiyah North"	22.705686	NA	59.153606	NA	NA	NA	100	1600	20090323	NA	NA	100	NA	11	NA	NA	NA	NA	NA	NA	NA	0	NA
OBG	AMZ233	DLHH40	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Al Jabal Al Abyad, Ash Sharqiyah North"	22.928	NA	58.906333	NA	NA	NA	100	1483	NA	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
OBG	AMZ234	HHM47	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Jabal Al Abyad, Ash Sharqiyah North"	22.923	NA	58.930389	NA	NA	NA	100	1270	NA	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
OBG	AMZ235	SAHATM100	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Jabal Al Abyad, Ash Sharqiyah North"	22.938139	NA	58.888556	NA	NA	NA	100	1525	NA	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ236	AA192	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Wadi Asahban, Al Batinah North"	24.189636	NA	56.317592	NA	NA	NA	100	522	20210713	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	50	0	NA
E	E00046276	IS8026	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"S of Tiwi, Ash Sharqiyah North"	22.744658	NA	59.134626	NA	NA	NA	200	15	19920325	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00046311	IS7994	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Jabal Aswad, above Siya, Muscat "	23.202108	NA	58.667884	NA	NA	NA	200	244	19920321	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066911	RW150	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Wadi Haslah, SW of Awabi, Al Batinah South"	23.33333	NA	57.63333	NA	NA	NA	200	700	19780313	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066912	AJ9571	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"E of Hajar mountains, Siya at foot of Jabal Aswad, Muscat"	23.143777	NA	58.677199	NA	NA	NA	200	400	19890930	NA	NA	100	NA	23	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066951	AR3980	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Upper end of Sakhakhin Gorge near Jabal Akhdar, Ad Dakhiliyah"	23.077437	NA	57.53895	NA	NA	NA	200	609	19760321	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00219516	TR94	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Al-Rustaq, Al Batinah South"	23.459926	NA	57.450325	NA	NA	NA	100	400	19750318	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
P	P03287290	PA5044	NA	NA	NA	NA	Verbascum 	akdarense	(Murb.) Hub.-Mor.	NA	NA	NA	NA	NA	OMN	Oman	Region	Province	NA	NA	"Jabal Akhdar, Ad Dakhiliyah"	23.086169	NA	57.65285	NA	NA	NA	200	NA	NA	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
K	AMZ201	FH5768	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Jabal Shibam, 40 km N.E. of Sana'a, Sana'a"	15.052565	NA	43.736439	NA	NA	NA	200	2400	19751017	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
K	AMZ202	JW1707	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Jabal Taqar, Ibb"	13.882215	NA	44.127223	NA	NA	NA	200	3100	19770728	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
K	AMZ203	JW3108	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Near Bait Albeshari, Al Mahwit"	15.481322	NA	43.592527	NA	NA	NA	200	2100	19791214	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
BM	AMZ204	JW74/155	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Turbah, Taizz"	13.22044	NA	44.114011	NA	NA	NA	200	2000	19741024	NA	NA	100	NA	62	NA	NA	NA	NA	NA	NA	NA	0	NA
K	AMZ205	MA9282	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Near Turbah, Algaheli, Taizz"	13.20331	NA	44.176078	NA	NA	NA	200	2000	19951110	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
K	AMZ206	AS4399	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Jabal Sabir, above and to the SE of Taizz, Taizz"	13.517825	NA	44.052474	NA	NA	NA	200	2850	19770803	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA
