INSTCODE	ACCENUMB	COLLNUMB	COLLCODE	COLLNAME	COLLINSTADDRESS	COLLMISSID	GENUS	SPECIES	SPAUTHOR	SUBTAXA	SUBTAUTHOR	CROPNAME	ACCENAME	ACQDATE	ORIGCTY	NAMECTY	ADM1	ADM2	ADM3	ADM4	COLLSITE	DECLATITUDE	LATITUDE	DECLONGITUDE	LONGITUDE	COORDUNCERT	COORDDATUM	GEOREFMETH	ELEVATION	COLLDATE	BREDCODE	BREDNAME	SAMPSTAT	ANCEST	COLLSRC	DONORCODE	DONORNAME	DONORNUMB	OTHERNUMB	DUPLSITE	DUPLINSTNAME	STORAGE	MLSSTAT	REMARKS
INIFAT	1	2a	P 683	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Ciego de Ávila	NA	NA	NA	NA	21.907443	NA	-78.839702	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	2	2b	P 683	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Ciego de Ávila	NA	NA	NA	NA	21.939579	NA	-78.69356	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	3	4	P 506 B NIN 276	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Villa Clara	NA	NA	NA	NA	22.546531	NA	-80.090056	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	4	5	P 315	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Cienfuegos	NA	NA	NA	NA	22.19517	NA	-80.388617	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	5	7	P 572	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Sancti Spíritus	NA	NA	NA	NA	21.99109	NA	-79.25972	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	6	9	P 433 NIN 113	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Villa Clara	NA	NA	NA	NA	22.621082	NA	-79.859745	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	7	10	P 653 NIN 226	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Sancti Spíritus	NA	NA	NA	NA	21.849857	NA	-79.491573	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	8	11	P 877	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Holguín	NA	NA	NA	NA	20.618749	NA	-74.921575	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	9	12	P 820 ACT	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Las Tunas	NA	NA	NA	NA	21.055361	NA	-76.498282	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	10	13	P 530	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Sancti Spíritus	NA	NA	NA	NA	22.246579	NA	-79.640698	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	11	14	P 732 A ACT	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Ciego de Ávila	NA	NA	NA	NA	21.092462	NA	-76.353183	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	12	15	P 683 B ACT	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Ciego de Ávila	NA	NA	NA	NA	21.818178	NA	-78.682023	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	13	16	P 521 NIN 108	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Sancti Spíritus	NA	NA	NA	NA	22.23085	NA	-79.632339	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	14	17	P 123 A	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Pinar del Río	NA	NA	NA	NA	22.707467	NA	-83.065115	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	15	18	P 799NIN 259	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Holguín	NA	NA	NA	NA	21.021002	NA	-76.409876	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	16	19	P 156	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Pinar del Río	NA	NA	NA	NA	22.630016	NA	-83.402334	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	17	20	P 208	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Pinar del Río	NA	NA	NA	NA	22.2634	NA	-83.518837	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	18	22	P 672 NIN 230	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Ciego de Ávila	NA	NA	NA	NA	22.110836	NA	-78.905892	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	19	23	P 821 C	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Las Tunas	NA	NA	NA	NA	21.052813	NA	-76.514331	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	20	24	P 873 NIN 245	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Holguín	NA	NA	NA	NA	20.630996	NA	-74.928216	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INIFAT	21	25	P 732 B	NA	NA	NA	Zea	mays	L.	NA	NA	NA	NA	NA	CUB	Cuba	Ciego de Ávila	NA	NA	NA	NA	21.095	NA	-76.347064	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
