INSTCODE	ACCENUMB	COLLNUMB	COLLCODE	COLLNAME	COLLINSTADDRESS	COLLMISSID	GENUS	SPECIES	SPAUTHOR	SUBTAXA	SUBTAUTHOR	CROPNAME	ACCENAME	ACQDATE	ORIGCTY	NAMECTY	ADM1	ADM2	ADM3	ADM4	COLLSITE	DECLATITUDE	LATITUDE	DECLONGITUDE	LONGITUDE	COORDUNCERT	COORDDATUM	GEOREFMETH	ELEVATION	COLLDATE	BREDCODE	BREDNAME	SAMPSTAT	ANCEST	COLLSRC	DONORCODE	DONORNAME	DONORNUMB	OTHERNUMB	DUPLSITE	DUPLINSTNAME	STORAGE	MLSSTAT	REMARKS
IN SITU	93		P 3495	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7611	NA	-82.9867	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	94		P 3488	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Bahía Honda 	NA	NA	NA	22.8183	NA	-83.0775	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	95		P 3517	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Bahía Honda	NA	NA	NA	22.8247	NA	-83.0908	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	96		P 3507	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.8306	NA	-82.9044	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	97		P 3489	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	San Cristóbal	NA	NA	NA	22.7963	NA	-83.1063	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	98		P 3491	NA	NA	NA	Zea	mays	L.	Gíbara	NA	NA	NA	NA	CUB	Cuba	Artemisa	San Cristóbal	NA	NA	NA	22.7963	NA	-83.1063	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	99		P 3490	NA	NA	NA	Zea	mays	L.	Morao	NA	NA	NA	NA	CUB	Cuba	Artemisa	San Cristóbal	NA	NA	NA	22.7963	NA	-83.1063	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	100		P 3492	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	San  Cristóbal	NA	NA	NA	22.7964	NA	-83.1075	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	101		P 3509	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7811	NA	-83.0144	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	102		P 3502	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7825	NA	-83.0126	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	103		P 3501	NA	NA	NA	Zea	mays	L.	En. Mex	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7814	NA	-83.0021	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	104		P 3497	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7793	NA	-83.005	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	105		P 3498	NA	NA	NA	Zea	mays	L.	Gíbara	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7793	NA	-83.005	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	106		P 3503	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7783	NA	-83.0042	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	107		P 3504	NA	NA	NA	Zea	mays	L.	Gíbara	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7783	NA	-83.0042	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	108		P 3508	NA	NA	NA	Zea	mays	L.	Mexicano	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7743	NA	-82.9875	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	109		P 3496	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7743	NA	-82.9875	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	110		P 3506	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.7762	NA	-83.0087	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	111		P 3505	NA	NA	NA	Zea	mays	L.	Criollo	NA	NA	NA	NA	CUB	Cuba	Artemisa	Candelaria	NA	NA	NA	22.8297	NA	-82.8972	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	112		P 3537	NA	NA	NA	Zea	mays	L.	Cuña	NA	NA	NA	NA	CUB	Cuba	Guantánamo	Yateras	NA	NA	NA	20.3958	NA	-75.0511	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	113		P 3540	NA	NA	NA	Zea	mays	L.	Morado	NA	NA	NA	NA	CUB	Cuba	Guantánamo	Yateras	NA	NA	NA	20.3958	NA	-75.0511	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	114		P 3536	NA	NA	NA	Zea	mays	L.	Argentino	NA	NA	NA	NA	CUB	Cuba	Guantánamo	Yateras	NA	NA	NA	20.3958	NA	-75.0511	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IN SITU	115		P 3538	NA	NA	NA	Zea	mays	L.	Mexicano	NA	NA	NA	NA	CUB	Cuba	Guantánamo	Yateras	NA	NA	NA	20.3958	NA	-75.0511	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
