ACCENUMB	LM	DM	DT	NGH	NHG	LG	AG	GrG	P100S	FM	CT	DHG	CG	TG
1	9.3675	2.8206	1.6525	20.8492	14.630	0.7017	0.5200	0.2833	11.6922	3	1	1	2	6
2	6.7351	3.2363	1.8412	16.1786	12.800	0.6800	0.5567	0.3367	12.5839	3	1	1	2	7
3	16.2857	4.6214	2.4807	34.6429	14.000	0.9833	0.8050	0.3983	26.3589	2	1	1	2	6
4	13.1960	3.6135	3.1240	27.5873	14.000	0.9117	0.6950	0.3483	19.3589	2	1	1	10	6
5	14.8460	3.6992	2.5194	29.9921	14.820	0.8967	0.7650	0.3450	19.1389	2	1	1	6	6
6	12.9853	4.0585	2.4621	24.1016	14.330	0.9017	0.7750	0.3633	19.4422	2	1	1	10	6
7	12.0657	3.9771	2.4179	27.1036	12.890	1.0233	0.8600	0.3383	26.0256	2	5	1	11	6
8	16.5833	3.3476	1.4857	36.1190	13.650	1.0717	0.7000	0.3300	18.8056	5	1	1	2	4
9	11.5179	3.8351	2.2143	22.4821	15.200	0.8283	0.5950	0.4400	12.5556	2	1	2	2	6
10	15.8690	3.9571	2.6086	31.7619	13.880	1.0267	0.8600	0.3550	25.5556	2	1	1	2	6
11	13.0833	3.6726	2.2917	27.3333	15.250	0.8383	0.6850	0.3950	14.1389	2	1	1	2	6
12	14.4321	4.0210	1.8286	34.2619	14.120	1.1267	0.6400	0.3150	21.3889	2	1	1	2	6
13	14.7127	4.4624	2.5728	27.6254	13.870	1.0633	0.8250	0.3233	25.1111	2	1	1	10	6
14	16.4232	4.4935	2.7798	31.8726	14.220	1.3117	0.7950	0.3350	22.2222	2	1	1	2	6
15	18.3913	4.0381	2.7028	35.4683	14.240	1.1183	0.8550	0.3383	30.3611	2	1	1	10	6
16	13.7857	4.2310	2.5381	26.2143	14.330	1.3867	0.8150	0.3500	21.3889	2	1	1	2	6
17	13.5341	4.1714	2.5540	24.7302	13.650	0.8350	0.8333	0.4550	19.5828	2	1	1	10	6
18	13.8675	4.4560	2.3218	29.0635	12.620	0.9050	0.9633	0.3600	25.1661	2	1	1	2	6
19	15.4881	4.4948	2.7429	31.1190	15.000	1.1900	0.9217	0.4067	23.8606	2	1	1	2	6
20	13.9056	4.0643	2.5825	25.8016	13.760	1.0350	0.9083	0.3950	24.9161	2	4	1	10	6
21	15.2273	3.6007	2.1917	28.2976	15.080	0.9750	0.7967	0.4167	17.1939	2	1	1	10	6
22	16.1190	3.9462	1.4321	23.1238	12.890	0.9550	0.6267	0.4083	16.0017	5	5	2	2	5
23	16.5833	4.4981	2.8560	31.1238	14.000	1.0033	0.8583	0.4033	24.0572	2	1	4	10	6
24	16.1667	4.4155	2.5429	27.3571	15.500	1.0550	0.7900	0.3783	24.6944	2	1	3	2	6
25	14.4345	3.9862	2.5917	29.8857	15.690	0.9883	0.8533	0.3783	25.1406	2	4	1	9	6
26	13.9167	4.2440	2.2071	26.3571	14.000	0.9850	0.8250	0.3533	24.2778	2	1	1	10	6
27	14.4881	3.2910	2.1371	30.6714	15.060	0.9433	0.7433	0.3767	15.0572	5	1	1	10	7
28	13.8929	4.2560	2.0976	27.5238	13.880	0.9667	0.9500	0.3533	23.4167	5	1	1	10	6
