ESPECIE
Rhynchosia minima
Ipomoea tiliacea
Ipomoea trifida
Ipomoea tenuissima
Solanum erianthum
Diospyros grisebachii
Diospyros halesioides
Coleataenia beyeri
Panicum dichotomum
Digitaria curvinervis
Panicum millegrana
Dichanthelium aciculare
Solanum nudum
Piper arboreum
Digitaria argillacea
Ipomoea asarifolia
Piper articulatum
Ficus aurea
Pimenta cainitoides
Ipomoea jalapa
Dioscorea psilostachya
Ipomoea falkioides
Ipomoea hypargyrea
Piper mananthum
Ipomoea microdactyla
Solanum pachyneurum
Coleataenia petersonii
Piper amalago
Piper sphaerocarpum
Ficus trigonata
Panicum virgatum
Piper wrightii
Solanum torvum
Dioscorea tamoidea
Dioscorea nipensis
Ficus maxima
Ilex dioica
Ilex macfadyenii
Ilex vomitoria
Ilex berteroi
Ilex clementis
Ilex cubana
Ilex gundlachiana
Ilex obcordata
Ipomoea fuchsioides
Ipomoea calophylla
Ipomoea carolina
Juglans jamaicensis
Panicum dichotomiflorum
Panicum ghiesbreghtii
Persea hypoleuca 
Pimenta oligantha
Piper confusum
Solanum gundlachii
Ipomoea pes-caprae
Rorippa portoricensis
Piper aduncum
Pimenta adenoclada
Solanum tetramerum
Solanum boldoense
Ilex guianensis
Ficus crassinervia
Solanum crotonoides
Dioscorea cubensis
Ipomoea subrevoluta
Setaria parviflora
Ipomoea hederifolia
Solanum tampicense
Dichanthelium acuminatum
Solanum mammosum
Solanum pachyneuroides
Prunus myrtifolia
Solanum schlechtendalianum
Panicum sellowii
Ipomoea heptaphylla
Ipomoea imperati
Vitis tiliifolia
Panicum trichoides
Solanum bahamense
Ficus citrifolia
Ficus crocata
Digitaria ekmanii
Digitaria horizontalis
Lepidium virginicum
Symphysia racemosa
Psidium parvifolium
Illicium cubense
Rubus grisebachii
Psidium salutare
Psidium navasense
Psidium rotundatum
Rubus turquinensis
Vaccinium cubense
Xanthosoma cubense
Digitaria insularis
Ilex bahiahondica
Solanum campechiense
Solanum chamaeacanthum
Solanum microphyllum
Cyphonanthus discrepans
Louisiella elephantipes
Ipomoea jalapoides
Panicum lacustre
Solanum moense
Ipomoea alternifolia
Ilex hypaneura
Solanum seaforthianum
Setaria tenax
Solanum umbellatum
Solanum wendlandii
Dioscorea wrightii
Ipomoea alterniflora
Ilex cassine
Ipomoea praecox
Coleataenia stenodes
