Fuente	ID de la fuente	ESPECIE	"GENUS
"	"SPECIES
"	"ORIGCTY
"	"OBSDATE
"	"POPID
"	"MNGINSTNAME
"	MNGINSTADDRESS	"SPAUTHOR
"	"SUBTAXA
"	"SUBTAUTH
"	"OCCURSITE
"	"DECLATITUDE
"	"DECLONGITUDE
"	"COORDDATUM
"	"ELEVATION
"	SITEPROT	"POPSRC
"	SAMPSTAT	INSTNAME	INSTADDRESS	INSTNAME	"INSTCODE
"	HERBCODE	3.2.5.1	ACCEDOI	ACCENUMB	SPECNUMB	CONSACTION	MLSSTAT	LINKS	REMARKS
GBIF_CWRdiversity	1300430188	Allium sp	Allium	sp	CUB	00000000	111353			L.											Bioversity												
GBIF_CWRdiversity	1300436909	Capsicum annuum	Capsicum	annuum	CUB	00000000	118075			L.											Bioversity												
GBIF_CWRdiversity	1300436973	Capsicum annuum	Capsicum	annuum	CUB	00000000	118125			L.											Bioversity												
GBIF_CWRdiversity	1300437073	Capsicum annuum	Capsicum	annuum	CUB	00000000	118218			L.											Bioversity												
GBIF_CWRdiversity	1300438357	Capsicum annuum	Capsicum	annuum	CUB	00000000	119487			L.											Bioversity												
GBIF_CWRdiversity	1300439673	Capsicum frutescens	Capsicum	frutescens	CUB	00000000	120815			L.											Bioversity												
GBIF_CWRdiversity	1300439685	Capsicum frutescens	Capsicum	frutescens	CUB	00000000	120834			L.											Bioversity												
GBIF_CWRdiversity	1300439691	Capsicum frutescens	Capsicum	frutescens	CUB	00000000	120831			L.											Bioversity												
GBIF_CWRdiversity	1300468714	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	149912			L.											Bioversity												
GBIF_CWRdiversity	1300468718	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	149890			L.											Bioversity												
GBIF_CWRdiversity	1300468776	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	149909			L.											Bioversity												
GBIF_CWRdiversity	1300468777	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	149911			L.											Bioversity												
GBIF_CWRdiversity	1300483920	Vigna sp	Vigna	sp	CUB	00000000	166817			Savi			50 KM. N.W. OF GUANTANAMO /  / Cuba	20.42	-75.53	WGS84					Bioversity												
GBIF_CWRdiversity	1300483924	Rhynchosia minima	Rhynchosia	minima	CUB	00000000	166870				minima		60 KM. W. OF SANTIAGO DE CUBA /  / Cuba	19.98	-76.35	WGS84					Bioversity												
GBIF_CWRdiversity	1300483930	Vigna sp	Vigna	sp	CUB	00000000	166866			Savi			45 KM. N. OF SANTIAGO /  / Cuba	20.32	-75.82	WGS84					Bioversity												
GBIF_CWRdiversity	1300483958	Rhynchosia minima	Rhynchosia	minima	CUB	00000000	166871				minima		70 KM. W. OF SANTIAGO /  / Cuba	19.98	-76.43	WGS84					Bioversity												
GBIF_CWRdiversity	1300511828	Ipomoea tiliacea	Ipomoea	tiliacea	CUB	00000000	207540			(Willd.) Choisy			Limones / Cienfuegos / Cuba								CAS												
GBIF_CWRdiversity	1300516298	Oryza sp	Oryza	sp	CUB	00000000	212057			L.			 / Matanzas / Cuba								MA												
GBIF_CWRdiversity	1300517845	Ipomoea batatas	Ipomoea	batatas	CUB	00000000	213644			(L.) Lam.			 / La Habana / Cuba								NY												
GBIF_CWRdiversity	1300518452	Ipomoea trifida	Ipomoea	trifida	CUB	00000000	214244			(Kunth) G.Don			Herradura / La Habana / Cuba								NY												
GBIF_CWRdiversity	1300518525	Ipomoea trifida	Ipomoea	trifida	CUB	00000000	214333			(Kunth) G.Don			Veciniity of Los Palacios / Pinar del Ro / Cuba								NY												
GBIF_CWRdiversity	1300518669	Oryza sp	Oryza	sp	CUB	00000000	214489			L.			Pinar del Ro City. In swamp, at kilometer 8 on road to Coloma. / Pinar del Ro / Cuba								NY												
GBIF_CWRdiversity	1300518790	Ipomoea tenuissima	Ipomoea	tenuissima	CUB	00000000	214614			Choisy			"Along road to Santa Isabel, near southeast corner of Cerro Daguilla; sabanas. / Isla de la Juventud (Isle of Pines) / Cuba"								NY												
GBIF_CWRdiversity	1300519268	Oryza latifolia	Oryza	latifolia	CUB	00000000	215107			Desv.			 / Oriente / Cuba								PH												
GBIF_CWRdiversity	1300519917	Ipomoea trifida	Ipomoea	trifida	CUB	00000000	216036			(Kunth) G.Don			Santiago de las Vegas. Province of Habana. / La Habana / Cuba								US												
GBIF_CWRdiversity	1300520176	Ipomoea tenuissima	Ipomoea	tenuissima	CUB	00000000	216361			Choisy			Province of Matanzas: San Miguel de los Banos (serpentine). / Matanzas / Cuba								US												
GBIF_CWRdiversity	1300520258	Ipomoea tiliacea	Ipomoea	tiliacea	CUB	00000000	216360			(Willd.) Choisy			Habana: Herradura Beach, Isla de Pinos. / La Habana / Cuba								US												
GBIF_CWRdiversity	1300520284	Ipomoea trifida	Ipomoea	trifida	CUB	00000000	216388			(Kunth) G.Don			Pinar del Rio: Santa Cruz to Rangel, Sierra de Los Organos. / Pinar del Ro / Cuba								US												
GBIF_CWRdiversity	1300522220	Capsicum annuum	Capsicum	annuum	CUB	00000000	218399			(Dunal) Heiser & Pickersgill	glabriusculum		Thickets, on rocky ground, near Bejucal / Havana / Cuba								PH												
GBIF_CWRdiversity	1300522549	Capsicum baccatum	Capsicum	baccatum	CUB	00000000	218731			L.			 / Provincia de la Habana / Cuba								L												
GBIF_CWRdiversity	1300522564	Capsicum frutescens	Capsicum	frutescens	CUB	00000000	218733			L.			Playa Dominica, near El Mariel, PR. / Provincia de la Habana / Cuba								L												
GBIF_CWRdiversity	1300522567	Capsicum baccatum	Capsicum	baccatum	CUB	00000000	218730			L.			Vicinity of Soledad /  / Cuba								L												
GBIF_CWRdiversity	1300857493	Capsicum sp	Capsicum	sp	CUB	00000000	561766			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300898423	Citrullus lanatus	Citrullus	lanatus	CUB	00000000	602785			(Schrad.) Fursa	vulgaris										Bioversity-ECPGR												
GBIF_CWRdiversity	1300899229	Citrullus lanatus	Citrullus	lanatus	CUB	00000000	603609			(Schrad.) Fursa	vulgaris										Bioversity-ECPGR												
GBIF_CWRdiversity	1300904082	Cucumis sativus	Cucumis	sativus	CUB	00000000	608453			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300908467	Cucurbita pepo	Cucurbita	pepo	CUB	00000000	612805			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300909798	Cucurbita sp	Cucurbita	sp	CUB	00000000	614177			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300909807	Cucurbita sp	Cucurbita	sp	CUB	00000000	614170			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300909851	Cucurbita sp	Cucurbita	sp	CUB	00000000	614176			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300910877	Cucurbita sp	Cucurbita	sp	CUB	00000000	615218			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300910919	Cucurbita sp	Cucurbita	sp	CUB	00000000	615219			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300965282	Rhynchosia minima	Rhynchosia	minima	CUB	00000000	669684			(L.) DC.											Bioversity-SINGER												
GBIF_CWRdiversity	1300965326	Rhynchosia minima	Rhynchosia	minima	CUB	00000000	669697			(L.) DC.											Bioversity-SINGER												
GBIF_CWRdiversity	1300982374	Solanum chacoense	Solanum	chacoense	CUB	00000000	686758			Bitter											Bioversity-ECPGR												
GBIF_CWRdiversity	1300984769	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	689168			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300985503	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	689920			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300985643	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	690066			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300985656	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	690084			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300985693	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	690085			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1300986598	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	690999			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301144012	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	853722				lycopersicum										Bioversity-ECPGR												
GBIF_CWRdiversity	1301144196	Solanum lycopersicum	Solanum	lycopersicum	CUB	00000000	854087				lycopersicum										Bioversity-ECPGR												
GBIF_CWRdiversity	1301188415	Oryza latifolia	Oryza	latifolia	CUB	00000000	898251	Empresa Nacional para la Protección de la Flora y la Fauna		Desv.				21.64586	-79.5167	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345511	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055873			L.			SANTIAGO DE CUBA - SANTIAGO DE CUBA - Market in Santiago de Cuba /  / Cuba	20.0167	-75.8167	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345558	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055958			L.			CIEGO DE AVILA - CIEGO DE AVILA - zona urbana de Ciego de Avila /  / Cuba	21.8333	-78.7667	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345580	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055962			L.			CIEGO DE AVILA - CIEGO DE AVILA - Chambas /  / Cuba	22.2	-78.9167	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345584	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055963			L.			CIEGO DE AVILA - CIEGO DE AVILA - Chambas /  / Cuba	22.2	-78.9167	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345601	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055967			L.			MATANZAS - VARADERO - near Varadero /  / Cuba	23.1667	-81.2667	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301345615	Phaseolus lunatus	Phaseolus	lunatus	CUB	00000000	1055971			L.			MATANZAS - VARADERO - near Varadero /  / Cuba	23.1667	-81.2667	WGS84					Bioversity-SINGER												
GBIF_CWRdiversity	1301346972	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1057354			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301348876	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1059280			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301349807	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1060276			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301351089	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1061493			L.											Bioversity-ECPGR												
GBIF_CWRdiversity	1301351090	Phaseolus vulgaris	Phaseolus	vulgaris	CUB	00000000	1061499			L.											Bioversity-ECPGR												
