INSTCODE	ACCENUMB	COLLNUMB	COLLCODE	COLLNAME	COLLINSTADDRESS	COLLMISSID	GENUS	SPECIES	SPAUTHOR	SUBTAXA	SUBTAUTHOR	CROPNAME	ACCENAME	ACQDATE	ORIGCTY	NAMECTY	ADM1	ADM2	ADM3	ADM4	COLLSITE	DECLATITUDE	LATITUDE	DECLONGITUDE	LONGITUDE	COORDUNCERT	COORDDATUM	GEOREFMETH	ELEVATION	COLLDATE	BREDCODE	BREDNAME	SAMPSTAT	ANCEST	COLLSRC	DONORCODE	DONORNAME	DONORNUMB	OTHERNUMB	DUPLSITE	DUPLINSTNAME	STORAGE	MLSSTAT	REMARKS
NA	1_new	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Guerrero	Zihuatanejo de Azueta	NA	NA	NA	17.7	174200N	-101.525	1013130W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	10054	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	Ocosingo	NA	NA	NA	16.79472222	164741N	-90.92805556	0905541W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	102	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Campeche	Calakmul	NA	NA	NA	18.24722222	181450N	-89.4625	0892745W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	10703	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Oaxaca	Santa Mar?a Huatulco	NA	NA	NA	15.77638889	154635N	-96.15944444	0960934W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	10759	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	Ocosingo	NA	NA	NA	16.82333333	164924N	-90.88944444	0905322W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	10898	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	Ocosingo	NA	NA	NA	16.81583333	164857N	-90.89833333	0905354W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	11010	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	Ocosingo	NA	NA	NA	16.79944444	164758N	-90.8825	0905257W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1119	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Oaxaca	Santa Mar?a Huatulco	NA	NA	NA	15.76083333	154539N	-96.18527778	0961107W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1151	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Oaxaca	NA	NA	NA	NA	17.11694444	170701N	-96.58277778	0963458W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1154	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Oaxaca	Santa Catarina Ixtepeji	NA	NA	NA	17.23305556	171359N	-96.57694444	0963437W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
