"INSTCODE"	"ACCENUMB"	"COLLNUMB"	"COLLCODE"	"COLLNAME"	"COLLINSTADDRESS"	"COLLMISSID"	"GENUS"	"SPECIES"	"SPAUTHOR"	"SUBTAXA"	"SUBTAUTHOR"	"CROPNAME"	"ACCENAME"	"ACQDATE"	"ORIGCTY"	"NAMECTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"DECLATITUDE"	"LATITUDE"	"DECLONGITUDE"	"LONGITUDE"	"COORDUNCERT"	"COORDDATUM"	"GEOREFMETH"	"ELEVATION"	"COLLDATE"	"BREDCODE"	"BREDNAME"	"SAMPSTAT"	"ANCEST"	"COLLSRC"	"DONORCODE"	"DONORNAME"	"DONORNUMB"	"OTHERNUMB"	"DUPLSITE"	"DUPLINSTNAME"	"STORAGE"	"MLSSTAT"	"REMARKS"	"SUITQUAL"	"LOCALQUAL"	"COORQUAL"	"TOTALQUAL"	"TOTALQUAL100"
NA	"1_new"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Guerrero"	"Zihuatanejo de Azueta"	NA	NA	NA	17.7	"174200N"	-101.525	"1013130W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13.3333333333333	17	45.3333333333333	75.5555555555556
NA	"10054"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.7947222222222	"164741N"	-90.9280555555556	"0905541W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"102"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Campeche"	"Calakmul"	NA	NA	NA	18.2472222222222	"181450N"	-89.4625	"0892745W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13.3333333333333	17	45.3333333333333	75.5555555555556
NA	"10703"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Santa Mar?a Huatulco"	NA	NA	NA	15.7763888888889	"154635N"	-96.1594444444444	"0960934W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"10759"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.8233333333333	"164924N"	-90.8894444444445	"0905322W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	17	37	61.6666666666667
NA	"10898"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.8158333333333	"164857N"	-90.8983333333333	"0905354W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"11010"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.7994444444444	"164758N"	-90.8825	"0905257W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"1119"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Santa Mar?a Huatulco"	NA	NA	NA	15.7608333333333	"154539N"	-96.1852777777778	"0961107W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"1151"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	NA	NA	NA	NA	17.1169444444444	"170701N"	-96.5827777777778	"0963458W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13.3333333333333	17	45.3333333333333	75.5555555555556
NA	"1154"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Santa Catarina Ixtepeji"	NA	NA	NA	17.2330555555556	"171359N"	-96.5769444444444	"0963437W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13.3333333333333	17	45.3333333333333	75.5555555555556
NA	"11541"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Yucatan"	"Tekax"	NA	NA	NA	19.6913888888889	"194129N"	-89.11	"0890636W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	6.66666666666667	17	38.6666666666667	64.4444444444444
NA	"11572"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Quintana Roo"	"Jose Maria Morelos"	NA	NA	NA	19.2816666666667	"191654N"	-88.7583333333333	"0884530W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"11615"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Campeche"	"Hopelch?n"	NA	NA	NA	19.195	"191142N"	-89.1733333333333	"0891024W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"1166"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Puebla"	"Cuetzalan del Progreso"	NA	NA	NA	20.0288888888889	"200144N"	-97.545	"0973242W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"1186"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Santa Mar?a Chimalapa"	NA	NA	NA	16.9669444444444	"165801N"	-94.625	"0943730W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13.3333333333333	17	45.3333333333333	75.5555555555556
NA	"1228147005"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"Jalcomulco"	NA	NA	NA	19.3330555555556	"191959N"	-96.6666666666667	"0964000W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"1228151016"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"Jalcomulco"	NA	NA	NA	19.3330555555556	"191959N"	-96.6666666666667	"0964000W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"1228152228"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"Jalcomulco"	NA	NA	NA	19.3330555555556	"191959N"	-96.6666666666667	"0964000W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"1228166033"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"Jalcomulco"	NA	NA	NA	19.3330555555556	"191959N"	-96.6666666666667	"0964000W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
