"ELC_CAT"	"bio_19.media"	"bio_17.media"	"bio_14.media"	"bio_11.media"	"alt.media"	"wind_annual.media"	"srad_annual.media"	"LONGITUD.media"	"LATITUD.media"	"t_bulk_dens.media"	"t_cecsol.media"	"t_oc_dens.media"	"t_ph_hox.media"	"bio_19.mediana"	"bio_17.mediana"	"bio_14.mediana"	"bio_11.mediana"	"alt.mediana"	"wind_annual.mediana"	"srad_annual.mediana"	"LONGITUD.mediana"	"LATITUD.mediana"	"t_bulk_dens.mediana"	"t_cecsol.mediana"	"t_oc_dens.mediana"	"t_ph_hox.mediana"	"bio_19.maximo"	"bio_17.maximo"	"bio_14.maximo"	"bio_11.maximo"	"alt.maximo"	"wind_annual.maximo"	"srad_annual.maximo"	"LONGITUD.maximo"	"LATITUD.maximo"	"t_bulk_dens.maximo"	"t_cecsol.maximo"	"t_oc_dens.maximo"	"t_ph_hox.maximo"	"bio_19.minimo"	"bio_17.minimo"	"bio_14.minimo"	"bio_11.minimo"	"alt.minimo"	"wind_annual.minimo"	"srad_annual.minimo"	"LONGITUD.minimo"	"LATITUD.minimo"	"t_bulk_dens.minimo"	"t_cecsol.minimo"	"t_oc_dens.minimo"	"t_ph_hox.minimo"	"bio_19.sd"	"bio_17.sd"	"bio_14.sd"	"bio_11.sd"	"alt.sd"	"wind_annual.sd"	"srad_annual.sd"	"LONGITUD.sd"	"LATITUD.sd"	"t_bulk_dens.sd"	"t_cecsol.sd"	"t_oc_dens.sd"	"t_ph_hox.sd"
0	128.04177432161	66.844351518322	17.5374920158319	231.169169734901	NA	NA	NA	NA	NA	NA	NA	NA	NA	101.066669464111	54	14	232	NA	NA	NA	NA	NA	NA	NA	NA	NA	572	230.839996337891	65.7200012207031	276.333343505859	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.80000019073486	1	0	176	NA	NA	NA	NA	NA	NA	NA	NA	NA	121.539693198042	60.6232814077964	17.0839079032625	22.0170790030087	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	332.507144383022	187.610000610352	48.0057141440255	236.111428941999	25.7228573789554	2.54583333219801	17907.5237862723	-91.8508152514786	17.9546735150756	1348.34375	33.474107333592	209.024106706892	66.3133930478777	333.940002441406	187.879997253418	46.7800006866455	237.639999389648	0.919999986886978	2.58600008487701	17808.2080078125	-92.3433747752881	18.0677687531709	1357.4375	33.0125007629395	209.800003051758	65.8875007629395	409.160003662109	206.559997558594	56.1199989318848	239.679992675781	227.440002441406	2.77366662025452	18611.25	-88.4683747752881	18.1927687531709	1410.77502441406	38.4500007629395	260.5	71.4250030517578	272.640014648438	165.119995117188	41.5999984741211	227.839996337891	-0.959999978542328	2	17649.916015625	-92.6767081086214	17.1511020865042	1242.65002441406	28.8999996185303	169.375	63.0499992370605	30.259461464216	12.1284370518561	4.64806067851117	3.76570695588708	67.1044725166501	0.226440269276794	281.737493956137	1.22894058244222	0.318104505140176	34.5218410056781	2.36884179463932	21.1925366557417	2.39567030114689
2	386.643067666563	251.181553873458	73.3905211817198	221.899115233295	445.291445278803	2.097711888152	18245.0771647616	-91.6489713010173	16.8602957934855	1369.21084147616	26.9522615505882	164.54321500615	59.7074238224836	345.519989013672	224.279998779297	64.5999984741211	226.759994506836	328.880004882812	2.07299995422363	18203.166015625	-91.5100414419547	17.0677687531709	1368.875	26.6749992370605	162.699996948242	59.2249984741211	889.880004882812	494.760009765625	152.600006103516	243.080001831055	1411	3.6800000667572	19376.916015625	-88.5100414419547	20.1511020865042	1436.92504882812	35.4500007629395	260.375	69.75	227.240005493164	154.720001220703	40.0800018310547	178.279998779297	-0.600000023841858	1.59200000762939	17025.166015625	-97.5100414419547	15.6511020865042	1282.34997558594	19.2000007629395	129.649993896484	52.0250015258789	128.823864475825	73.1804198075626	23.5538668651956	15.0152365890313	356.62919444845	0.312435004744122	552.849519070599	0.844726428985183	0.698035484621398	27.3331500355676	2.48267467183681	18.5596799870014	2.8944483972897
3	338.706666546103	197.531357188284	55.1032098369834	237.579753734447	13.3703702541045	2.39865842571965	17990.2088638117	-91.6689920592387	17.8275424157223	1430.6928952064	27.9274691828975	156.445988596222	66.632098586471	335.839996337891	192.839996337891	54.8800010681152	239.080001831055	4.28000020980835	2.43300008773804	17982.916015625	-91.9683747752881	17.8594354198375	1432.82495117188	27.2999992370605	154.675003051758	66.4749984741211	502	318.040008544922	89.3199996948242	241.119995117188	178.559997558594	2.86400008201599	18361.916015625	-88.4267081086214	18.1511020865042	1457.34997558594	34.8499984741211	193.699996948242	72.3499984741211	279.839996337891	150.039993286133	40.0800018310547	229.039993286133	-0.720000028610229	2.02366662025452	17611	-92.7183747752881	17.3594354198375	1396.69995117188	23.25	122.449996948242	63	38.7753398475873	28.3353223676403	8.82769245874469	3.48025409686561	24.7106983375177	0.201971640022638	219.254466605137	1.06043735881725	0.190630305588537	15.8902676094428	2.29509849060917	15.5652361434248	1.87977388581061
4	413.673262738167	241.252198807737	69.110992884805	233.83723384776	59.4274467316502	2.35706500761898	17779.3366993573	-92.3684191015292	17.5825441668825	1434.63692241696	23.6527038043272	131.491223599048	59.9398048684952	388.679992675781	224.680000305176	65.4200019836426	235.459999084473	31.1000003814697	2.42583334445953	17766.5830078125	-92.3850414419547	17.6927687531709	1435.57495117188	23.6000003814697	130.175003051758	59.7000007629395	832.880004882812	458.119995117188	144.399993896484	245.119995117188	502.880004882812	3.22366666793823	19061.583984375	-90.2183747752881	20.2344354198375	1475.25	29.5	166.600006103516	67.4499969482422	214.240005493164	158.759994506836	41	186.960006713867	1.63999998569489	1.56499993801117	16950.166015625	-97.5933747752881	15.9427687531709	1378.82495117188	15.0749998092651	100.5	52.9249992370605	99.8158117999631	55.2747995563789	17.586630251667	8.37021875278936	70.407949633963	0.359762832590012	557.611323725109	1.21652335506618	0.688061175453675	15.1283453830628	2.48699652607102	12.4875292617295	2.89576591737442
5	317.448571704683	260.924284617106	79.6833333514986	172.785713559105	922.931901840937	1.67224205959411	17485.1160481771	-96.1042874737008	19.1233243087264	1341.45713152204	24.7455358278184	197.734226226807	58.9196425846645	271.5	243.159996032715	74.0799980163574	175.540000915527	862.640014648438	1.51416665315628	17230.7919921875	-97.6350414419547	20.0677687531709	1339.45001220703	24.0625	184.350006103516	59.5750007629395	675.039978027344	429.399993896484	131.600006103516	194.119995117188	1957.07995605469	2.39100003242493	18862.416015625	-90.9683747752881	21.5677687531709	1403.84997558594	33.9500007629395	283.799987792969	63.9749984741211	194.399993896484	184.039993286133	50.1599998474121	142.360000610352	237.600006103516	1.41066670417786	16820.416015625	-99.0517081086214	15.6927687531709	1248.57495117188	21.5	152.800003051758	51.0250015258789	125.09665504345	64.0161800890196	20.2303122610398	11.8426348758784	442.250812267434	0.289155715252792	589.263467935297	2.80917171837013	1.89076187751536	39.1574352786093	2.19926109758785	32.5409659278349	3.03748650538303
6	207.89333597819	196.49333190918	61.1333325703939	187.626663208008	331.786661783854	1.47488888104757	17437.9440104167	-98.0794858863992	20.7066576420598	1416.45833333333	22.8666667938232	149.541666666667	64.3583323160807	208.240005493164	193.919998168945	62.2799987792969	186.839996337891	332.320007324219	1.55233335494995	17210.166015625	-97.6767081086214	20.3177687531709	1412.17504882812	22.625	150.800003051758	64.3499984741211	220.839996337891	202.800003051758	62.4799995422363	190.679992675781	395.519989013672	1.55966663360596	17905.416015625	-97.6350414419547	21.5677687531709	1429.72497558594	24.6000003814697	151.75	66.4499969482422	194.600006103516	192.759994506836	58.6399993896484	185.360000610352	267.519989013672	1.31266665458679	17198.25	-98.9267081086214	20.2344354198375	1407.47497558594	21.375	146.074996948242	62.2750015258789	13.1234296847083	5.4924473415316	2.16160422810207	2.74585368646323	64.0016667212587	0.140536409205514	404.886471244988	0.734011681206876	0.746907203319375	11.7271275090884	1.62602552087831	3.03956785627469	2.08751018773082
7	393.523331027561	179.359313286675	51.1966194152832	216.051867336697	289.568685807122	3.64395964940389	16785.8814887153	-94.0220784789918	18.3575835679857	1075.28721788194	29.1355553944906	315.084448242187	62.8288888719347	394.200012207031	169.759994506836	48	230.20832824707	9.2857141494751	3.88333320617676	17120.333984375	-93.5933747752881	18.3594354198375	1099.90002441406	31.1499996185303	308.350006103516	65.9000015258789	438.440002441406	267.839996337891	76.6399993896484	235.440002441406	1565.64001464844	4.08333349227905	17421.916015625	-93.0517081086214	18.5677687531709	1305.625	46.6749992370605	430.475006103516	70.3249969482422	302.359985351562	161.090911865234	42.6800003051758	154.800003051758	1.72000002861023	1.87899994850159	15586.4169921875	-96.7600414419547	18.1511020865042	825.325012207031	13.2250003814697	214.100006103516	53.7000007629395	22.0722638502818	24.7977768890989	9.06158551915243	25.0275222392479	462.729263832551	0.574215844539852	612.06490941366	0.991385807495828	0.091008118062681	158.14743709355	6.21466231846982	54.4874452324566	5.40624639488356
8	404.689188037398	240.309254139556	67.8733860219019	204.147740019849	521.134069910275	2.61649883809174	16685.2268410226	-94.6743412447161	17.8252145125397	1349.81002811229	23.942869868081	181.084911369008	57.3099111613437	383	226.600006103516	65.2399978637695	211.240005493164	385.359985351562	2.55633330345154	16726.166015625	-94.3433747752881	17.5677687531709	1359.05004882812	23.7000007629395	174.649993896484	57	846.400024414062	503.480010986328	150.479995727539	236.759994506836	2034.47998046875	4.0892858505249	17742.416015625	-91.9683747752881	20.2761020865042	1423.69995117188	33.25	293.399993896484	70.7750015258789	207.440002441406	152.559997558594	38.5999984741211	139.479995727539	2.11999988555908	1.53266668319702	15414.5830078125	-97.5517081086214	16.9011020865042	1036.82495117188	9.19999980926514	132.125	51.2750015258789	127.15778714012	63.8020345466594	19.0834939362541	22.9618712473866	477.843586037882	0.590294119743271	457.582995986901	1.41692166864196	0.759701191473284	46.3381204072339	2.63230905610267	30.005944990314	2.91411201318758
9	252.739270723783	208.464075724284	62.4927934499887	212.89462906275	78.8597032412505	2.68085468732394	16632.0447716346	-96.8551269120402	20.1126405480427	1440.53141276042	25.668589860965	139.169871599246	68.6673073401818	241.479995727539	199.080001831055	61.0800018310547	213.240005493164	54.1599998474121	2.66033339500427	16616.916015625	-96.8433747752881	20.1094354198375	1442.92504882812	26.0750007629395	133.625	68.25	330.040008544922	281.279998779297	83.4000015258789	225.080001831055	328	3.22000002861023	17032.166015625	-96.6767081086214	20.2761020865042	1474.92504882812	28.9750003814697	170.550003051758	72.7750015258789	218.631576538086	186.839996337891	54.439998626709	190.199996948242	3.6800000667572	2.15199995040894	16493.25	-97.0100414419547	19.9844354198375	1411.72497558594	21.2999992370605	124.800003051758	65.3499984741211	27.1122773798476	22.7682163482899	6.43998706188924	7.7249181624537	75.8799783974249	0.305017194088108	109.627341579059	0.0921581312614084	0.0748930861894099	15.2688901291409	1.84056732146873	12.0751912556674	2.32773738515409
