"ACCENUMB"	"OBJECTID"	"INSTCODE"	"COLLNUMB"	"COLLCODE"	"COLLNAME"	"COLLINSTADDRESS"	"COLLMISSID"	"GENUS"	"SPECIES"	"SPAUTHOR"	"SUBTAXA"	"SUBTAUTHOR"	"CROPNAME"	"ACCENAME"	"ACQDATE"	"ORIGCTY"	"NAMECTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"DECLATITUDE"	"LATITUDE"	"DECLONGITUDE"	"LONGITUDE"	"COORDUNCERT"	"COORDDATUM"	"GEOREFMETH"	"ELEVATION"	"COLLDATE"	"BREDCODE"	"BREDNAME"	"SAMPSTAT"	"ANCEST"	"COLLSRC"	"DONORCODE"	"DONORNAME"	"DONORNUMB"	"OTHERNUMB"	"DUPLSITE"	"DUPLINSTNAME"	"STORAGE"	"MLSSTAT"	"REMARKS"	"globlandc"	"DISTOLAND"	"SUITQUAL"	"ID_0"	"ISO"	"NAME_0"	"ID_1"	"NAME_1"	"VARNAME_1"	"ENGTYPE_1"	"ID_2"	"NAME_2"	"VARNAME_2"	"ENGTYPE_2"	"ID_3"	"NAME_3"	"VARNAME_3"	"ENGTYPE_3"	"ID_4"	"NAME_4"	"VARNAME_4"	"ENGTYPE4"	"NIVELMAX"	"LOCALQUAL"	"COORQUAL"	"intertemp"	"errores"	"precis"	"georble"	"TOTALQUAL"	"TOTALQUAL100"
"1_new"	109863	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Guerrero"	"Zihuatanejo de Azueta"	NA	NA	NA	17.7	"174200N"	-101.525	"1013130W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	15	145	"MEX"	"Mexico"	12	"Guerrero"	NA	"State"	387	"José Azueta"	"Jose Azueta"	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	13.3333333333333	17	0	1	3	2	45.3333333333333	75.5555555555556
"10054"	109293	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.7947222222222	"164741N"	-90.9280555555556	"0905541W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	15	145	"MEX"	"Mexico"	5	"Chiapas"	NA	"State"	87	"Ocosingo"	"Ocozingo"	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	20	17	0	1	3	2	52	86.6666666666667
"102"	110441	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Campeche"	"Calakmul"	NA	NA	NA	18.2472222222222	"181450N"	-89.4625	"0892745W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	15	145	"MEX"	"Mexico"	4	"Campeche"	NA	"State"	21	"Champotón"	"Champoton"	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	13.3333333333333	17	0	1	3	2	45.3333333333333	75.5555555555556
"10703"	111021	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Santa Mar?a Huatulco"	NA	NA	NA	15.7763888888889	"154635N"	-96.1594444444444	"0960934W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	0	20	145	"MEX"	"Mexico"	20	"Oaxaca"	NA	"State"	986	"Dist. Pochutla"	"NA "	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	13.3333333333333	17	0	1	3	2	50.3333333333333	83.8888888888889
"10759"	84329	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.8233333333333	"164924N"	-90.8894444444445	"0905322W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	0	20	94	"GTM"	"Guatemala"	12	"Petén"	NA	"Department"	174	"La Libertad"	"NA "	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	0	17	0	1	3	2	37	61.6666666666667
"10898"	109293	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.8158333333333	"164857N"	-90.8983333333333	"0905354W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	15	145	"MEX"	"Mexico"	5	"Chiapas"	NA	"State"	87	"Ocosingo"	"Ocozingo"	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	20	17	0	1	3	2	52	86.6666666666667
"11010"	109293	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.7994444444444	"164758N"	-90.8825	"0905257W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	15	145	"MEX"	"Mexico"	5	"Chiapas"	NA	"State"	87	"Ocosingo"	"Ocozingo"	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	20	17	0	1	3	2	52	86.6666666666667
"1119"	111021	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Santa Mar?a Huatulco"	NA	NA	NA	15.7608333333333	"154539N"	-96.1852777777778	"0961107W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	0	20	145	"MEX"	"Mexico"	20	"Oaxaca"	NA	"State"	986	"Dist. Pochutla"	"NA "	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	13.3333333333333	17	0	1	3	2	50.3333333333333	83.8888888888889
"1151"	110980	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	NA	NA	NA	NA	17.1169444444444	"170701N"	-96.5827777777778	"0963458W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	15	145	"MEX"	"Mexico"	20	"Oaxaca"	NA	"State"	993	"Dist. Tlacolula"	"NA "	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	13.3333333333333	17	0	1	3	3	45.3333333333333	75.5555555555556
"1154"	110904	NA	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Santa Catarina Ixtepeji"	NA	NA	NA	17.2330555555556	"171359N"	-96.5769444444444	"0963437W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	15	145	"MEX"	"Mexico"	20	"Oaxaca"	NA	"State"	977	"Dist. Ixtlan"	"NA "	"Municipality"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	13.3333333333333	17	0	1	3	2	45.3333333333333	75.5555555555556
