"ACCENUMB"	"bio_15"	"bio_4"	"bio_3"	"bio_5"	"bio_6"	"bio_12"	"bio_16"	"bio_18"	"bio_19"	"bio_17"	"bio_13"	"bio_14"	"bio_2"	"bio_7"	"bio_1"	"bio_8"	"bio_10"	"bio_11"	"bio_9"
"1_new"	111.199996948242	716.440002441406	78.9599990844727	337.399993896484	178.679992675781	1210.11999511719	771.599975585938	447.239990234375	32.5200004577637	8.19999980926514	335.160003662109	1.96000003814697	126.199996948242	158.720001220703	261.880004882812	266.600006103516	270.480010986328	251.720001220703	256.119995117188
"10054"	64.1999969482422	1720.16003417969	65	338.959991455078	175.520004272461	2141.8798828125	953.159973144531	511.119995117188	239.800003051758	161.720001220703	389.079986572266	38.9599990844727	106.959999084473	163.440002441406	255.600006103516	262	274.880004882812	230.039993286133	254.600006103516
"102"	56.0800018310547	2109.52001953125	60.9199981689453	332.720001220703	155.119995117188	1201.71997070312	480.959991455078	328.399993896484	148.080001831055	101.400001525879	200.479995727539	29.7999992370605	109.23999786377	177.600006103516	247.600006103516	258.799987792969	268.559997558594	216.800003051758	243.880004882812
"10703"	104.480003356934	702.119995117188	83.0400009155273	343.959991455078	181.800003051758	854.320007324219	491.720001220703	491.200012207031	14.3599996566772	10.1199998855591	197.639999389648	2	135.600006103516	162.160003662109	268.839996337891	276.200012207031	276.200012207031	260.200012207031	260.279998779297
"10759"	63.1199989318848	1743.83996582031	64.4400024414062	340.799987792969	178.080001831055	2111	935.799987792969	506.359985351562	238.360000610352	164.240005493164	382.760009765625	39	105.720001220703	162.720001220703	257.839996337891	264	277.320007324219	232	257
"10898"	63.1199989318848	1743.83996582031	64.4400024414062	340.799987792969	178.080001831055	2111	935.799987792969	506.359985351562	238.360000610352	164.240005493164	382.760009765625	39	105.720001220703	162.720001220703	257.839996337891	264	277.320007324219	232	257
"11010"	63.1199989318848	1743.83996582031	64.4400024414062	340.799987792969	178.080001831055	2111	935.799987792969	506.359985351562	238.360000610352	164.240005493164	382.760009765625	39	105.720001220703	162.720001220703	257.839996337891	264	277.320007324219	232	257
"1119"	104.480003356934	702.119995117188	83.0400009155273	343.959991455078	181.800003051758	854.320007324219	491.720001220703	491.200012207031	14.3599996566772	10.1199998855591	197.639999389648	2	135.600006103516	162.160003662109	268.839996337891	276.200012207031	276.200012207031	260.200012207031	260.279998779297
"1151"	89.3600006103516	1340.88000488281	70.4800033569336	267.600006103516	67.120002746582	761.880004882812	416.399993896484	256.119995117188	34.5999984741211	22	161.479995727539	5.80000019073486	142.360000610352	200.479995727539	167.839996337891	173.880004882812	184.559997558594	149.039993286133	151.440002441406
"1154"	87.120002746582	1155.56005859375	71.3199996948242	237.360000610352	48.6399993896484	1097.0400390625	596.039978027344	151.919998168945	64.3600006103516	44.0800018310547	225.080001831055	9.35999965667725	135.559997558594	188.720001220703	140.919998168945	143.919998168945	155.839996337891	125.360000610352	136.039993286133
