"ACCENUMB"	"t_awc1"	"t_awc2"	"t_awc3"	"t_soilwater_cap"	"t_bulk_dens"	"t_cecsol"	"t_clay_cont"	"t_coarse_frag"	"depth_rock"	"t_oc_cont"	"t_oc_dens"	"t_oc_stock"	"r_horizon"	"t_sand_cont"	"t_awcts"	"t_silt_cont"	"sodicity"	"t_ph_hox"	"t_ph_kcl"
"1_new"	10.8500003814697	8.32499980926514	6.75	25	1478.52502441406	18.2250003814697	41.9500007629395	28.2250003814697	64	10.0249996185303	118.925003051758	86	82	34.9749984741211	42.0750007629395	23.5499992370605	0	64	52.6500015258789
"10054"	10.2250003814697	7.875	6.34999990463257	28.125	1378.15002441406	36.7249984741211	39.3499984741211	10.9499998092651	143	13.4750003814697	159.425003051758	156	46	41.1749992370605	44.9749984741211	19.4500007629395	0	63.5750007629395	49.2999992370605
"102"	11.1499996185303	8.89999961853027	6.90000009536743	28.9750003814697	1377.67504882812	41.5	38.9749984741211	10.6750001907349	120	12.8249998092651	207.5	178	61	39.0250015258789	45.7750015258789	22.4500007629395	0	74.3499984741211	48.9500007629395
"10703"	12.5	9.42500019073486	7.75	21.7999992370605	1473.94995117188	13	35.8250007629395	27.1749992370605	140	10.25	99.8499984741211	102	47	44.125	41.5499992370605	20.2749996185303	0	66.5749969482422	57.0750007629395
"10759"	10	7.55000019073486	6.125	28	1408.19995117188	34.1500015258789	41.125	8.77499961853027	158	10.8500003814697	142.600006103516	137	39	40.625	44.2000007629395	18.3250007629395	0	63.5750007629395	50.0750007629395
"10898"	10	7.55000019073486	6.125	28	1408.19995117188	34.1500015258789	41.125	8.77499961853027	158	10.8500003814697	142.600006103516	137	39	40.625	44.2000007629395	18.3250007629395	0	63.5750007629395	50.0750007629395
"11010"	10	7.55000019073486	6.125	28	1408.19995117188	34.1500015258789	41.125	8.77499961853027	158	10.8500003814697	142.600006103516	137	39	40.625	44.2000007629395	18.3250007629395	0	63.5750007629395	50.0750007629395
"1119"	11.7250003814697	8.75	7.30000019073486	22.6000003814697	1480.15002441406	14.0500001907349	38.0999984741211	21.5249996185303	117	9.125	100.050003051758	101	57	43.6749992370605	41.625	18.2000007629395	0	63.1500015258789	57.0999984741211
"1151"	12.3249998092651	9.75	7.75	26.2999992370605	1332	25.8500003814697	34.5	23.7000007629395	183	21.8999996185303	185.5	199	30	40.125	45.7249984741211	26	0	54	48.75
"1154"	11.75	8.94999980926514	7.32499980926514	25.6749992370605	1375.69995117188	26.0750007629395	35.1749992370605	27.875	164	16.7999992370605	171.375	166	38	40.3499984741211	44.5	24.125	0	57.125	48.8250007629395
"11541"	11.1999998092651	8.77499961853027	6.90000009536743	27	1404.27502441406	30.1749992370605	42.2249984741211	11.875	112	12.6000003814697	172.074996948242	160	58	40.4500007629395	44.9749984741211	17.5499992370605	0	73.5500030517578	50.6500015258789
"11572"	10.5749998092651	8	6.22499990463257	28.625	1375.59997558594	35.0750007629395	45	11.1999998092651	114	14.1999998092651	177.149993896484	170	59	38.7999992370605	46.0999984741211	16.6749992370605	0	69.5749969482422	50.6500015258789
"11615"	10.0749998092651	7.77500009536743	5.77500009536743	27	1431.90002441406	32.2999992370605	41.6749992370605	10.2250003814697	153	11.9750003814697	156.199996948242	148	37	43.9749984741211	43.9749984741211	14.5500001907349	0	71	50.4249992370605
"1166"	12.6999998092651	9.77499961853027	7.77500009536743	25.7999992370605	1332.375	22.9500007629395	37.4500007629395	20.2999992370605	149	16.625	193.125	182	43	38.7750015258789	45.5	24.3500003814697	0	57.7999992370605	46.625
"1186"	11.6750001907349	8.77499961853027	7.32499980926514	25.3250007629395	1380.55004882812	22.4500007629395	36.7750015258789	14.7749996185303	159	18.1000003814697	173.425003051758	188	54	40.4500007629395	44.4500007629395	23.0499992370605	0	55.5750007629395	45.0499992370605
"1228147005"	11.3249998092651	8.32499980926514	6.75	26.0249996185303	1414.5	26.6499996185303	40.0750007629395	12.9750003814697	167	14.9750003814697	147.675003051758	161	40	39.3499984741211	43.875	21.1499996185303	0	63.5499992370605	49.1500015258789
"1228364460"	11.0749998092651	8.77499961853027	6.77500009536743	26	1455.42504882812	26.875	38.7249984741211	10.5	184	10.9499998092651	136.024993896484	138	34	35.375	42.6749992370605	25.7250003814697	0	69.3249969482422	49.4000015258789
"1228375861"	12.6499996185303	9.85000038146973	8.19999980926514	27.7999992370605	1282.44995117188	28.4249992370605	38.2249984741211	13.5	200	23.2000007629395	245.274993896484	248	21	38.7750015258789	47.4249992370605	23.7749996185303	0	54.5750007629395	45.8499984741211
"124"	13.8500003814697	10.9499998092651	8.875	27.1000003814697	1285.625	32.375	38.4749984741211	12.3999996185303	104	27.8999996185303	233.925003051758	256	69	39.9749984741211	48.5250015258789	21.875	0	73	51.2999992370605
"12424"	10	7.55000019073486	6.125	28	1408.19995117188	34.1500015258789	41.125	8.77499961853027	158	10.8500003814697	142.600006103516	137	39	40.625	44.2000007629395	18.3250007629395	0	63.5750007629395	50.0750007629395
"1253"	10.8999996185303	8.57499980926514	6.77500009536743	26	1401.40002441406	27.125	37.5499992370605	8.875	163	12.125	146.675003051758	139	45	42.6749992370605	43.6500015258789	20	0	59.6500015258789	47.0750007629395
"12558"	10	7.55000019073486	6.125	28	1408.19995117188	34.1500015258789	41.125	8.77499961853027	158	10.8500003814697	142.600006103516	137	39	40.625	44.2000007629395	18.3250007629395	0	63.5750007629395	50.0750007629395
"1257606805"	11.3500003814697	8.57499980926514	7.125	26.5750007629395	1405.27502441406	25.1749992370605	39.2000007629395	14.3999996185303	140	13.4750003814697	148.574996948242	152	54	36.6749992370605	44.125	23.7749996185303	0	60.5750007629395	49.7750015258789
