"ACCENUMB"	"OBJECTID"	"INSTCODE"	"COLLNUMB"	"COLLCODE"	"COLLNAME"	"COLLINSTADDRESS"	"COLLMISSID"	"GENUS"	"SPECIES"	"SPAUTHOR"	"SUBTAXA"	"SUBTAUTHOR"	"CROPNAME"	"ACCENAME"	"ACQDATE"	"ORIGCTY"	"NAMECTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"DECLATITUDE"	"LATITUDE"	"DECLONGITUDE"	"LONGITUDE"	"COORDUNCERT"	"COORDDATUM"	"GEOREFMETH"	"ELEVATION"	"COLLDATE"	"BREDCODE"	"BREDNAME"	"SAMPSTAT"	"ANCEST"	"COLLSRC"	"DONORCODE"	"DONORNAME"	"DONORNUMB"	"OTHERNUMB"	"DUPLSITE"	"DUPLINSTNAME"	"STORAGE"	"MLSSTAT"	"REMARKS"	"globlandc"	"DISTOLAND"	"SUITQUAL"	"ID_0"	"ISO"	"NAME_0"	"ID_1"	"NAME_1"	"VARNAME_1"	"ENGTYPE_1"	"ID_2"	"NAME_2"	"VARNAME_2"	"ENGTYPE_2"	"ID_3"	"NAME_3"	"VARNAME_3"	"ENGTYPE_3"	"ID_4"	"NAME_4"	"VARNAME_4"	"ENGTYPE4"	"NIVELMAX"	"LOCALQUAL"	"COORQUAL"	"intertemp"	"errores"	"precis"	"georble"	"GEOREFMETH1"	"TOTALQUAL"	"TOTALQUAL100"
"96285"	120490	"MSBKew"	"HDVP522"	NA	NA	NA	NA	"Verbascum"	"omanense"	"Hub.-Mor."	NA	NA	"metahí"	NA	NA	"OMN"	"Oman"	"Region"	"Province"	NA	NA	"1.7 km before Al Thowarah Garden on main road through Nakhl, Al Batinah South"	23.388021	NA	57.831268	NA	NA	NA	200	280	19920523	NA	NA	100	NA	23	NA	NA	NA	NA	NA	NA	"10"	0	NA	12	0	20	169	"OMN"	"Oman"	2	"Al Batnah"	"Al Batinah|Ad Batinah"	"Region"	10	"Al Awabi"	"NA "	"Province"	NA	NA	NA	NA	NA	NA	NA	NA	"ADM2"	6.66666666666667	18	1	1	3	3	2	44.6666666666667	74.4444444444444
"AMZ100"	173053	"MUZ"	"AA205"	NA	NA	NA	NA	"Verbascum "	"eremobium "	"Murb. "	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jalah, Alagan - Haql road, Tabuk"	29.141634	NA	35.142886	NA	NA	NA	100	1100	20230411	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	4	"Al Jawf"	"JawfAl Joaf|Al-Jouf|Jowf"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ101"	173053	"MUZ"	"AA206"	NA	NA	NA	NA	"Verbascum "	"eremobium "	"Murb. "	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Wadi Aba Al-Hinshan, near Alagan, Tabuk"	29.201441	NA	35.246433	NA	NA	NA	100	900	20230413	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	4	"Al Jawf"	"JawfAl Joaf|Al-Jouf|Jowf"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ102"	173059	"MUZ"	"AA207"	NA	NA	NA	NA	"Verbascum "	"eremobium "	"Murb. "	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Near Jabal Al-Lawz road, Tabuk"	28.876004	NA	35.345092	NA	NA	NA	100	1120	20230416	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ103"	173059	"MUZ"	"AA208"	NA	NA	NA	NA	"Verbascum "	"eremobium "	"Murb. "	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Thaghb, Tabuk"	28.843	NA	34.965817	NA	NA	NA	100	1420	20230420	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	13	"Tabuk"	"Tabouk"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ104"	173060	"MUZ"	"AA182"	NA	NA	NA	NA	"Verbascum  "	"medinecum"	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Odks, Medina"	23.609783	NA	39.500217	NA	NA	NA	100	1808	20210618	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|M√©dine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ105"	173060	"MUZ"	"AA153"	NA	NA	NA	NA	"Verbascum  "	"medinecum"	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Figrah, Medina"	24.344383	NA	38.949917	NA	NA	NA	100	1749	20210307	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|M√©dine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ106"	173060	"MUZ"	"AA219"	NA	NA	NA	NA	"Verbascum  "	"medinecum"	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Figrah, Medina"	24.332983	NA	38.941467	NA	NA	NA	100	1736	20210307	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	"10;50"	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|M√©dine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
"AMZ107"	173060	"MUZ"	"AA107"	NA	NA	NA	NA	"Verbascum  "	"medinecum"	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Figrah, Medina"	24.32525	NA	38.945	NA	NA	NA	100	1772	20200826	NA	NA	100	NA	23	NA	NA	NA	NA	NA	NA	NA	0	NA	14	0	15	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|M√©dine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	45	75
"AMZ108"	173060	"MUZ"	"AA220"	NA	NA	NA	NA	"Verbascum  "	"medinecum"	"Hemaid"	NA	NA	NA	NA	NA	"SAU"	"Saudi Arabia"	"Region"	NA	NA	NA	"Jabal Al-Figrah, Medina"	24.332933	NA	38.941467	NA	NA	NA	100	1734	20200826	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA	19	0	5	198	"SAU"	"Saudi Arabia"	5	"Al Madinah"	"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|M√©dine"	"Region"	NA	NA	"NA "	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADM1"	10	20	3	1	3	3	3	35	58.3333333333333
