VALUE	CLASSNAMES	SUITQUALc	SUITQUALw
0	No data	0	0
1	Tree Cover, broadleaved, evergreen	15	20
2	Tree Cover, broadleaved, deciduous, closed	15	20
3	Tree Cover, broadleaved, deciduous, open	18	20
4	Tree Cover, needle-leaved, evergreen	15	20
5	Tree Cover, needle-leaved, deciduous	15	20
6	Tree Cover, mixed leaf type	15	20
7	Tree Cover, regularly flooded, fresh water	10	15
8	Tree Cover, regularly flooded, saline water	5	15
9	Mosaic: Tree Cover / Other natural vegetation	10	20
10	Tree Cover, burnt	18	20
11	Shrub Cover, closed-open, evergreen	18	20
12	Shrub Cover, closed-open, deciduous	18	20
13	Herbaceous Cover, closed-open	20	20
14	Sparse herbaceous or sparse shrub cover	15	15
15	Regularly flooded shrub and/or herbaceous cover	10	20
16	Cultivated and managed areas	20	15
17	Mosaic: Cropland / Tree Cover / Other natural vegetation	20	18
18	Mosaic: Cropland / Shrub and/or grass cover	20	18
19	Bare Areas	0	0
20	Water Bodies	0	0
21	Snow and Ice	0	0
22	Artificial surfaces and associated areas	20	15
23	No data	0	0
