VARID	VARCODE	VARDESCR_EN	VARDESCR	VARUNIDAD	VARFUENTE	VARMODULO	FUENTELINK
3	bio_1	Annual mean temp	Temp prom anual	°C	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
4	bio_10	Mean temp warmest quarter	Temp prom cuarto mas calido	°C	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
5	bio_11	Mean temp coldest quarter	Temp prom cuarto mas frio	°C	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
6	bio_12	Annual prec	Prec anual	mm	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
7	bio_13	Prec wettest month	Prec mes mas humedo	mm	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
8	bio_14	Prec driest month	Prec mes mas seco	mm	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
9	bio_15	Prec seasonality	Estacionalidad prec	mm	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
10	bio_16	Prec wettest quarter	Prec cuarto  mas humedo	mm	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
11	bio_17	Prec driest quarter	Prec cuarto mas seco	mm	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
12	bio_18	Prec warmest quarter	Prec cuarto mas calido	mm	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
13	bio_19	Prec coldest quarter	Prec cuarto mas frio	mm	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
14	bio_2	Mean temp diurnal range	Rango prom temp diurnas	°C	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
15	bio_3	Isothermality	Isotermalidad	NA	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
16	bio_4	Temp seasonality	Estacionalidad temp	NA	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
17	bio_5	Max temp warmest month	Max temp mes mas calido	°C	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
18	bio_6	Min temp coldest month	Min temp mes mas frio	°C	Worldclim2	Bioclimatic / Bioclimática	https://worldclim.org/
