VARID	VARCODE	VARDESCR_EN	VARDESCR	VARUNIDAD	VARFUENTE	VARMODULO	FUENTELINK
36	ref_depth	Reference depth of the soil unit	Profundidad	Code	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
37	s_bs	Subsoil Base Saturation	Sat bases subsuelo	%	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
38	s_caco3	Subsoil Calcium Carbonate	CaCO3 subsuelo	% weight	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
39	s_caso4	Subsoil Gypsum	Yesos subsuelo	% weight	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
40	s_cec_clay	Subsoil CEC (clay)	CIC arcilla subsuelo	cmol/kg	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
41	s_cec_soil	Subsoil CEC (soil)	CIC subsuelo gral	cmol/kg	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
42	s_clay	Subsoil Clay Fraction	Arcilla en subsuelo	% weight	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
43	s_ece	Subsoil Salinity	Salinidad subsuelo	dS/m	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
44	s_esp	Subsoil Sodicity	Sodicidad subsuelo	%	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
45	s_gravel	Subsoil Gravel Content	Grava en subsuelo	%vol.	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
46	s_oc	Subsoil Organic Carbon	Carbon org subsuelo	% weight	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
47	s_ph_h2o	Subsoil pH (H2O)	pH subsuelo	-log(H+)	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
48	s_ref_bulk	Subsoil Reference Bulk Density	Densidad subsuelo	kg/dm3	HWS Database	Edafica/Edaphic	http://www.iiasa.ac.at/Research/LUC/External-World-soil-database/
