VARID	VARCODE	VARDESCR_EN	VARDESCR	VARUNIDAD	VARFUENTE	VARMODULO	FUENTELINK
1	alt	Elevation. Meters above the sea level	Elevacion	m	Worldclim	Geofisico/Geophysic	http://worldclim.org
2	aspect	Aspect (degree) of the land. 0 and 359 degrees correspond to north.	Orientacion	º	Derivada de SRTM DEM	Geofisico/Geophysic	NA
22	eastness	Eastness 	Esticidad	NA	Derivada de SRTM DEM	Geofisico/Geophysic	NA
23	northness	Northness 	Norticidad	NA	Derivada de SRTM DEM	Geofisico/Geophysic	NA
52	slope	Slope (in degrees) of the land surface	Pendiente grados	º	Derivada de SRTM DEM	Geofisico/Geophysic	NA
104	POINT_X	Longitude for the cell centroid	Longitud	Grados decimales	NA	Geofisico/Geophysic	NA
105	POINT_Y	Latitude for the cell centroid	Latitud	Grados decimales	NA	Geofisico/Geophysic	NA
119	wind_1	Wind speed January	Velocidad viento 1	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
120	wind_2	Wind speed February	Velocidad viento 2	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
121	wind_3	Wind speed March	Velocidad viento 3	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
122	wind_4	Wind speed April	Velocidad viento 4	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
123	wind_5	Wind speed May	Velocidad viento 5	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
124	wind_6	Wind speed June	Velocidad viento 6	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
125	wind_7	Wind speed July	Velocidad viento 7	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
126	wind_8	Wind speed August	Velocidad viento 8	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
127	wind_9	Wind speed September	Velocidad viento 9	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
128	wind_10	Wind speed October	Velocidad viento 10	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
129	wind_11	Wind speed November	Velocidad viento 11	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
130	wind_12	Wind speed December	Velocidad viento 12	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
131	wind_annual	Wind speed Annual	Velocidad viento anual	ms-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
132	srad_1	Solar radiation January	Radiacion solar 1	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
133	srad_2	Solar radiation February	Radiacion solar 2	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
134	srad_3	Solar radiation March	Radiacion solar 3	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
135	srad_4	Solar radiation April	Radiacion solar 4	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
136	srad_5	Solar radiation May	Radiacion solar 5	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
137	srad_6	Solar radiation June	Radiacion solar 6	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
138	srad_7	Solar radiation July	Radiacion solar 7	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
139	srad_8	Solar radiation August	Radiacion solar 8	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
140	srad_9	Solar radiation September	Radiacion solar 9	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
141	srad_10	Solar radiation October	Radiacion solar 10	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
142	srad_11	Solar radiation November	Radiacion solar 11	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
143	srad_12	Solar radiation December	Radiacion solar 12	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
144	srad_annual	Solar radiation Annual	Radiacion solar anual	kJ m-2 day-1	Worldclim2	Geofisico/Geophysic	http://worldclim.org
