"colnames.Pasaporte."	"colnames.FuentesExternas"
"INSTCODE"	"ID"
"ACCENUMB"	"SOURCE"
"COLLNUMB"	"TYPESOURCE"
"COLLCODE"	"IDSOURCE"
"COLLNAME"	"GENUS"
"COLLINSTADDRESS"	"SPECIES"
"COLLMISSID"	"SPAUTHOR"
"GENUS"	"SUBTAXA"
"SPECIES"	"SUBTAUTHOR"
"SPAUTHOR"	"CROPNAME"
"SUBTAXA"	"DECLATITUDE"
"SUBTAUTHOR"	"DECLONGITUDE"
"CROPNAME"	"COLLDATE"
"ACCENAME"	"SAMPSTAT"
"ACQDATE"	"TOTALQUAL100"
"ORIGCTY"	NA
"NAMECTY"	NA
"ADM1"	NA
"ADM2"	NA
"ADM3"	NA
"ADM4"	NA
"COLLSITE"	NA
"DECLATITUDE"	NA
"LATITUDE"	NA
"DECLONGITUDE"	NA
"LONGITUDE"	NA
"COORDUNCERT"	NA
"COORDDATUM"	NA
"GEOREFMETH"	NA
"ELEVATION"	NA
"COLLDATE"	NA
"BREDCODE"	NA
"BREDNAME"	NA
"SAMPSTAT"	NA
"ANCEST"	NA
"COLLSRC"	NA
"DONORCODE"	NA
"DONORNAME"	NA
"DONORNUMB"	NA
"OTHERNUMB"	NA
"DUPLSITE"	NA
"DUPLINSTNAME"	NA
"STORAGE"	NA
"MLSSTAT"	NA
"REMARKS"	NA
"AVAILAB"	NA
"SUITQUAL"	NA
"LOCALQUAL"	NA
"COORQUAL"	NA
"TOTALQUAL"	NA
"TOTALQUAL100"	NA
